Order_ID,Product,Category,Quantity,Price,Customer,City,Total_Sales
1001,Laptop,Electronics,2,55000,Asha,Hyderabad,110000
1002,Mobile,Electronics,3,25000,Rahul,Warangal,75000
1003,Headphones,Accessories,5,2000,Priya,Vijayawada,10000
1004,Keyboard,Accessories,4,1500,Arjun,Hyderabad,6000
1005,Mouse,Accessories,6,800,Sneha,Warangal,4800
1006,Monitor,Electronics,2,12000,Kiran,Chennai,24000
1007,Tablet,Electronics,3,30000,Anu,Bangalore,90000
1008,Smartwatch,Electronics,4,8000,Ravi,Hyderabad,32000
1009,Printer,Electronics,2,15000,Meena,Pune,30000
1010,Camera,Electronics,1,45000,Vikram,Delhi,45000
1011,Laptop,Electronics,1,60000,Asha,Bangalore,60000
1012,Mobile,Electronics,4,22000,Rahul,Chennai,88000
1013,Headphones,Accessories,7,2500,Priya,Hyderabad,17500
1014,Keyboard,Accessories,3,1800,Arjun,Warangal,5400
1015,Mouse,Accessories,5,700,Sneha,Pune,3500
1016,Monitor,Electronics,2,14000,Kiran,Delhi,28000
1017,Tablet,Electronics,4,28000,Anu,Bangalore,112000
1018,Smartwatch,Electronics,3,7500,Ravi,Hyderabad,22500
1019,Printer,Electronics,2,13000,Meena,Chennai,26000
1020,Camera,Electronics,2,42000,Vikram,Pune,84000
